"Date","Price","Open","High","Low","Vol.","Change %"
"03/26/1999","9,822.24","9,836.39","9,853.32","9,747.31","66.21M","-0.14%"
"03/25/1999","9,836.39","9,664.90","9,841.94","9,664.90","80.47M","1.75%"
"03/24/1999","9,666.84","9,671.56","9,703.19","9,625.21","72.99M","-0.05%"
"03/23/1999","9,671.83","9,890.23","9,891.06","9,632.71","87.51M","-2.21%"
"03/22/1999","9,890.50","9,902.28","9,934.63","9,874.97","61.21M","-0.13%"
"03/19/1999","9,903.55","10,001.23","10,085.31","9,899.94","117.43M","-0.94%"
"03/18/1999","9,997.62","9,873.90","10,001.51","9,845.83","86.48M","1.20%"
"03/17/1999","9,879.40","9,931.13","9,960.71","9,859.15","84.57M","-0.51%"
"03/16/1999","9,930.47","9,957.66","10,001.78","9,926.58","74.48M","-0.28%"
"03/15/1999","9,958.77","9,876.08","9,970.15","9,862.48","78.86M","0.83%"
"03/12/1999","9,876.35","9,897.72","9,958.77","9,861.92","97.76M","-0.21%"
"03/11/1999","9,897.44","9,769.96","9,935.46","9,769.96","97.87M","1.27%"
"03/10/1999","9,772.84","9,695.98","9,776.17","9,675.72","90.04M","0.82%"
"03/09/1999","9,693.75","9,725.39","9,798.93","9,669.89","96.62M","-0.35%"
"03/08/1999","9,727.61","9,737.19","9,764.80","9,674.33","78.54M","-0.09%"
"03/05/1999","9,736.07","9,467.67","9,738.79","9,467.67","97.21M","2.84%"
"03/04/1999","9,467.40","9,275.72","9,480.71","9,275.72","89.88M","2.06%"
"03/03/1999","9,275.88","9,296.44","9,337.00","9,211.23","74.64M","-0.23%"
"03/02/1999","9,297.61","9,324.24","9,421.22","9,268.00","79.71M","-0.29%"
"03/01/1999","9,324.78","9,307.39","9,355.21","9,222.63","80.90M","0.20%"
"02/26/1999","9,306.57","9,365.26","9,398.40","9,252.52","81.46M","-0.64%"
"02/25/1999","9,366.34","9,395.66","9,396.19","9,233.32","80.78M","-0.35%"
"02/24/1999","9,399.66","9,544.23","9,600.13","9,391.14","82.63M","-1.52%"
"02/23/1999","9,544.41","9,553.48","9,611.33","9,473.24","84.81M","-0.09%"
"02/22/1999","9,552.67","9,339.95","9,558.28","9,331.16","81.95M","2.28%"
"02/19/1999","9,339.95","9,299.17","9,395.67","9,267.71","73.11M","0.44%"
"02/18/1999","9,298.63","9,201.87","9,308.76","9,190.94","75.07M","1.12%"
"02/17/1999","9,195.47","9,289.78","9,365.54","9,179.21","83.35M","-1.09%"
"02/16/1999","9,297.03","9,277.31","9,387.66","9,234.73","76.97M","0.24%"
"02/12/1999","9,274.89","9,367.32","9,389.98","9,228.03","78.43M","-0.95%"
"02/11/1999","9,363.45","9,175.05","9,363.46","9,143.33","87.43M","2.03%"
"02/10/1999","9,177.31","9,133.91","9,183.49","9,099.04","86.03M","0.48%"
"02/09/1999","9,133.03","9,291.11","9,305.02","9,123.25","73.55M","-1.70%"
"02/08/1999","9,291.11","9,301.59","9,334.88","9,209.24","72.88M","-0.14%"
"02/05/1999","9,304.24","9,305.02","9,347.24","9,247.34","88.36M","0.00%"
"02/04/1999","9,304.50","9,365.15","9,397.96","9,274.89","88.34M","-0.67%"
"02/03/1999","9,366.82","9,272.58","9,398.22","9,239.62","89.76M","1.00%"
"02/02/1999","9,274.12","9,342.61","9,344.92","9,198.17","82.52M","-0.77%"
"02/01/1999","9,345.69","9,359.60","9,430.66","9,341.58","77.79M","-0.14%"
"01/29/1999","9,358.82","9,281.59","9,383.28","9,224.17","86.05M","0.83%"
"01/28/1999","9,281.33","9,203.57","9,301.15","9,203.57","80.49M","0.88%"
"01/27/1999","9,200.23","9,325.36","9,385.86","9,195.34","88.80M","-1.33%"
"01/26/1999","9,324.58","9,203.32","9,329.99","9,188.38","90.78M","1.32%"
"01/25/1999","9,203.31","9,120.67","9,203.83","9,063.26","89.25M","0.91%"
"01/22/1999","9,120.67","9,264.08","9,264.59","9,088.49","93.64M","-1.55%"
"01/21/1999","9,264.07","9,335.91","9,377.36","9,228.55","98.34M","-0.77%"
"01/20/1999","9,335.92","9,354.05","9,480.09","9,300.90","105.22M","-0.21%"
"01/19/1999","9,355.22","9,343.12","9,399.25","9,210.01","76.36M","0.16%"
"01/15/1999","9,340.55","9,127.16","9,342.61","9,127.16","79.44M","2.41%"
"01/14/1999","9,120.93","9,349.56","9,359.08","9,087.72","90.51M","-2.45%"
"01/13/1999","9,349.56","9,471.34","9,471.34","9,213.10","109.06M","-1.32%"
"01/12/1999","9,474.68","9,618.86","9,620.15","9,451.77","95.68M","-1.51%"
"01/11/1999","9,619.89","9,643.32","9,643.32","9,532.61","98.72M","-0.24%"
"01/08/1999","9,643.32","9,538.28","9,647.96","9,525.41","103.25M","1.11%"
"01/07/1999","9,537.76","9,542.14","9,542.14","9,426.02","88.29M","-0.08%"
"01/06/1999","9,544.97","9,315.42","9,562.22","9,315.42","103.34M","2.51%"
"01/05/1999","9,311.19","9,184.78","9,338.74","9,182.98","79.86M","1.38%"
"01/04/1999","9,184.26","9,184.01","9,350.33","9,122.47","89.41M","0.03%"
"12/31/1998","9,181.43","9,274.12","9,287.77","9,181.43","53.40M","-1.00%"
"12/30/1998","9,274.64","9,320.98","9,326.39","9,268.20","48.25M","-0.50%"
"12/29/1998","9,320.97","9,221.11","9,334.88","9,187.61","51.15M","1.02%"
"12/28/1998","9,226.75","9,220.57","9,262.79","9,189.41","45.91M","0.10%"
"12/24/1998","9,217.99","9,202.29","9,245.54","9,178.60","20.21M","0.17%"
"12/23/1998","9,202.03","9,044.72","9,211.04","9,043.17","58.32M","1.74%"
"12/22/1998","9,044.46","8,989.11","9,069.44","8,948.69","58.51M","0.62%"
"12/21/1998","8,988.85","8,902.97","9,079.22","8,898.74","77.84M","0.96%"
"12/18/1998","8,903.62","8,877.63","8,928.60","8,858.57","95.15M","0.31%"
"12/17/1998","8,875.82","8,787.55","8,879.94","8,785.75","71.75M","0.97%"
"12/16/1998","8,790.60","8,830.25","8,851.36","8,740.65","70.31M","-0.37%"
"12/15/1998","8,823.29","8,699.46","8,823.30","8,678.61","77.34M","1.47%"
"12/14/1998","8,695.59","8,820.73","8,820.73","8,676.03","71.52M","-1.43%"
"12/11/1998","8,821.76","8,839.51","8,844.93","8,730.10","71.70M","-0.22%"
"12/10/1998","8,841.58","9,008.42","9,012.79","8,823.30","76.63M","-1.86%"
"12/09/1998","9,009.18","9,027.15","9,050.90","8,968.51","80.31M","-0.21%"
"12/08/1998","9,027.98","9,070.47","9,088.75","8,946.63","79.24M","-0.47%"
